"","K","logLik","AICc","delta","weight","Model"
"120",11,-2319.37,4660.78,0,0.47,"distance_mouth_par + DOY_off + intertidal_par + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"248",14,-2317.06,4662.2,1.42,0.23,"distance_mouth_par + DOY_off + intertidal_par + sex_off + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"128",12,-2319.23,4662.52,1.74,0.2,"distance_mouth_par + DOY_off + intertidal_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"256",15,-2316.93,4663.95,3.17,0.1,"distance_mouth_par + DOY_off + intertidal_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"118",10,-2325.97,4671.99,11.2,0,"distance_mouth_par + intertidal_par + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"246",13,-2323.44,4672.94,12.16,0,"distance_mouth_par + intertidal_par + sex_off + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"126",11,-2325.85,4673.74,12.96,0,"distance_mouth_par + intertidal_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"116",10,-2327.11,4674.25,13.47,0,"distance_mouth_par + DOY_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"254",14,-2323.32,4674.71,13.93,0,"distance_mouth_par + intertidal_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"124",11,-2326.95,4675.94,15.16,0,"distance_mouth_par + DOY_off + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"114",9,-2334.4,4686.84,26.06,0,"distance_mouth_par + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"122",10,-2334.26,4688.55,27.77,0,"distance_mouth_par + length_off + sex_off + stream_off + distance_mouth_par:stream_off + 1"
"184",11,-2336.77,4695.6,34.82,0,"distance_mouth_par + DOY_off + intertidal_par + sex_off + stream_off + intertidal_par:stream_off + 1"
"192",12,-2336.71,4697.48,36.69,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + sex_off + stream_off + intertidal_par:stream_off + 1"
"104",10,-2341.57,4703.19,42.41,0,"distance_mouth_par + DOY_off + intertidal_par + stream_off + distance_mouth_par:stream_off + 1"
"232",13,-2339.15,4704.37,43.59,0,"distance_mouth_par + DOY_off + intertidal_par + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"112",11,-2341.33,4704.71,43.92,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + stream_off + distance_mouth_par:stream_off + 1"
"182",10,-2342.83,4705.71,44.93,0,"distance_mouth_par + intertidal_par + sex_off + stream_off + intertidal_par:stream_off + 1"
"240",14,-2338.91,4705.9,45.12,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"190",11,-2342.78,4707.6,46.82,0,"distance_mouth_par + intertidal_par + length_off + sex_off + stream_off + intertidal_par:stream_off + 1"
"183",10,-2346.6,4713.23,52.45,0,"DOY_off + intertidal_par + sex_off + stream_off + intertidal_par:stream_off + 1"
"191",11,-2346.54,4715.12,54.34,0,"DOY_off + intertidal_par + length_off + sex_off + stream_off + intertidal_par:stream_off + 1"
"102",9,-2349.19,4716.42,55.64,0,"distance_mouth_par + intertidal_par + stream_off + distance_mouth_par:stream_off + 1"
"230",12,-2346.54,4717.14,56.36,0,"distance_mouth_par + intertidal_par + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"100",9,-2349.81,4717.66,56.88,0,"distance_mouth_par + DOY_off + stream_off + distance_mouth_par:stream_off + 1"
"110",10,-2348.95,4717.93,57.15,0,"distance_mouth_par + intertidal_par + length_off + stream_off + distance_mouth_par:stream_off + 1"
"56",8,-2351.02,4718.07,57.29,0,"distance_mouth_par + DOY_off + intertidal_par + sex_off + stream_off + 1"
"238",13,-2346.3,4718.68,57.89,0,"distance_mouth_par + intertidal_par + length_off + stream_off + distance_mouth_par:stream_off + intertidal_par:stream_off + 1"
"108",10,-2349.53,4719.11,58.33,0,"distance_mouth_par + DOY_off + length_off + stream_off + distance_mouth_par:stream_off + 1"
"64",9,-2350.99,4720.02,59.24,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + sex_off + stream_off + 1"
"181",9,-2352.15,4722.34,61.56,0,"intertidal_par + sex_off + stream_off + intertidal_par:stream_off + 1"
"189",10,-2352.1,4724.24,63.46,0,"intertidal_par + length_off + sex_off + stream_off + intertidal_par:stream_off + 1"
"54",7,-2356.6,4727.22,66.44,0,"distance_mouth_par + intertidal_par + sex_off + stream_off + 1"
"62",8,-2356.58,4729.18,68.4,0,"distance_mouth_par + intertidal_par + length_off + sex_off + stream_off + 1"
"98",8,-2358.19,4732.4,71.62,0,"distance_mouth_par + stream_off + distance_mouth_par:stream_off + 1"
"106",9,-2357.91,4733.85,73.07,0,"distance_mouth_par + length_off + stream_off + distance_mouth_par:stream_off + 1"
"52",7,-2361.75,4737.52,76.74,0,"distance_mouth_par + DOY_off + sex_off + stream_off + 1"
"168",10,-2359.07,4738.17,77.39,0,"distance_mouth_par + DOY_off + intertidal_par + stream_off + intertidal_par:stream_off + 1"
"60",8,-2361.71,4739.44,78.66,0,"distance_mouth_par + DOY_off + length_off + sex_off + stream_off + 1"
"176",11,-2358.93,4739.91,79.13,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + stream_off + intertidal_par:stream_off + 1"
"55",7,-2364.13,4742.27,81.49,0,"DOY_off + intertidal_par + sex_off + stream_off + 1"
"63",8,-2364.1,4744.22,83.44,0,"DOY_off + intertidal_par + length_off + sex_off + stream_off + 1"
"50",6,-2367.81,4747.63,86.85,0,"distance_mouth_par + sex_off + stream_off + 1"
"58",7,-2367.77,4749.57,88.78,0,"distance_mouth_par + length_off + sex_off + stream_off + 1"
"166",9,-2366.1,4750.24,89.46,0,"distance_mouth_par + intertidal_par + stream_off + intertidal_par:stream_off + 1"
"53",6,-2369.52,4751.06,90.28,0,"intertidal_par + sex_off + stream_off + 1"
"174",10,-2365.97,4751.99,91.21,0,"distance_mouth_par + intertidal_par + length_off + stream_off + intertidal_par:stream_off + 1"
"61",7,-2369.5,4753.02,92.24,0,"intertidal_par + length_off + sex_off + stream_off + 1"
"167",9,-2368.24,4754.51,93.73,0,"DOY_off + intertidal_par + stream_off + intertidal_par:stream_off + 1"
"175",10,-2368.11,4756.26,95.48,0,"DOY_off + intertidal_par + length_off + stream_off + intertidal_par:stream_off + 1"
"40",7,-2373.4,4760.82,100.03,0,"distance_mouth_par + DOY_off + intertidal_par + stream_off + 1"
"48",8,-2373.32,4762.66,101.88,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + stream_off + 1"
"165",8,-2374.73,4765.5,104.71,0,"intertidal_par + stream_off + intertidal_par:stream_off + 1"
"173",9,-2374.61,4767.26,106.47,0,"intertidal_par + length_off + stream_off + intertidal_par:stream_off + 1"
"38",6,-2379.95,4771.92,111.13,0,"distance_mouth_par + intertidal_par + stream_off + 1"
"46",7,-2379.87,4773.77,112.98,0,"distance_mouth_par + intertidal_par + length_off + stream_off + 1"
"36",6,-2384.58,4781.17,120.39,0,"distance_mouth_par + DOY_off + stream_off + 1"
"44",7,-2384.48,4782.98,122.2,0,"distance_mouth_par + DOY_off + length_off + stream_off + 1"
"39",6,-2385.92,4783.86,123.07,0,"DOY_off + intertidal_par + stream_off + 1"
"47",7,-2385.84,4785.7,124.92,0,"DOY_off + intertidal_par + length_off + stream_off + 1"
"34",5,-2391.64,4793.28,132.5,0,"distance_mouth_par + stream_off + 1"
"37",5,-2392.27,4794.54,133.76,0,"intertidal_par + stream_off + 1"
"42",6,-2391.54,4795.1,134.32,0,"distance_mouth_par + length_off + stream_off + 1"
"45",6,-2392.19,4796.39,135.61,0,"intertidal_par + length_off + stream_off + 1"
"51",6,-2418.16,4848.33,187.54,0,"DOY_off + sex_off + stream_off + 1"
"59",7,-2418.08,4850.19,189.41,0,"DOY_off + length_off + sex_off + stream_off + 1"
"49",5,-2424.7,4859.41,198.63,0,"sex_off + stream_off + 1"
"57",6,-2424.64,4861.29,200.51,0,"length_off + sex_off + stream_off + 1"
"35",5,-2440.34,4890.69,229.9,0,"DOY_off + stream_off + 1"
"43",6,-2440.19,4892.4,231.61,0,"DOY_off + length_off + stream_off + 1"
"33",4,-2447.82,4903.64,242.86,0,"stream_off + 1"
"41",5,-2447.67,4905.36,244.57,0,"length_off + stream_off + 1"
"24",5,-2527.21,5064.42,403.64,0,"distance_mouth_par + DOY_off + intertidal_par + sex_off + 1"
"32",6,-2527.15,5066.32,405.54,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + sex_off + 1"
"8",4,-2542.75,5093.51,432.73,0,"distance_mouth_par + DOY_off + intertidal_par + 1"
"16",5,-2542.73,5095.47,434.68,0,"distance_mouth_par + DOY_off + intertidal_par + length_off + 1"
"23",4,-2552.48,5112.96,452.18,0,"DOY_off + intertidal_par + sex_off + 1"
"31",5,-2552.11,5114.23,453.45,0,"DOY_off + intertidal_par + length_off + sex_off + 1"
"22",4,-2555.6,5119.21,458.42,0,"distance_mouth_par + intertidal_par + sex_off + 1"
"30",5,-2555.47,5120.95,460.17,0,"distance_mouth_par + intertidal_par + length_off + sex_off + 1"
"7",3,-2567.25,5140.51,479.73,0,"DOY_off + intertidal_par + 1"
"15",4,-2566.97,5141.95,481.17,0,"DOY_off + intertidal_par + length_off + 1"
"6",3,-2572.22,5150.45,489.67,0,"distance_mouth_par + intertidal_par + 1"
"14",4,-2572.15,5152.32,491.53,0,"distance_mouth_par + intertidal_par + length_off + 1"
"21",3,-2588.6,5183.19,522.41,0,"intertidal_par + sex_off + 1"
"29",4,-2587.92,5183.85,523.07,0,"intertidal_par + length_off + sex_off + 1"
"5",2,-2604.57,5213.14,552.36,0,"intertidal_par + 1"
"13",3,-2604.04,5214.09,553.31,0,"intertidal_par + length_off + 1"
"20",4,-2621.66,5251.33,590.54,0,"distance_mouth_par + DOY_off + sex_off + 1"
"28",5,-2621.65,5253.32,592.54,0,"distance_mouth_par + DOY_off + length_off + sex_off + 1"
"4",3,-2636.69,5279.38,618.6,0,"distance_mouth_par + DOY_off + 1"
"12",4,-2636.66,5281.33,620.54,0,"distance_mouth_par + DOY_off + length_off + 1"
"18",3,-2648.55,5303.1,642.31,0,"distance_mouth_par + sex_off + 1"
"26",4,-2648.54,5305.1,644.31,0,"distance_mouth_par + length_off + sex_off + 1"
"2",2,-2664.53,5333.05,672.27,0,"distance_mouth_par + 1"
"10",3,-2664.52,5335.05,674.26,0,"distance_mouth_par + length_off + 1"
"19",3,-2818.07,5642.14,981.36,0,"DOY_off + sex_off + 1"
"27",4,-2817.2,5642.41,981.63,0,"DOY_off + length_off + sex_off + 1"
"3",2,-2829.93,5663.86,1003.08,0,"DOY_off + 1"
"11",3,-2829.19,5664.39,1003.61,0,"DOY_off + length_off + 1"
"25",3,-2880.63,5767.27,1106.49,0,"length_off + sex_off + 1"
"17",2,-2882.36,5768.73,1107.94,0,"sex_off + 1"
"9",2,-2893.81,5791.62,1130.84,0,"length_off + 1"
"1",1,-2895.28,5792.56,1131.78,0,"1"
